Uniprot Accession,Gene,Organism,1,2,3,4,5,6
A0AVT1,UBA6,Homo sapiens (Human),0,0.105170535,0.137753249,0.195763886,1,0.858814891
A0FGR8,ESYT2,Homo sapiens (Human),0.288722838,0.955220161,1,0.28369593,0.395743458,0
A1L0T0,ILVBL,Homo sapiens (Human),0.205191142,1,0.986589531,0.286355927,0.421677381,0
A1L188,C17orf89,Homo sapiens (Human),0,0.066406583,0.450444061,1,0.625364545,0.268901701
A2RRP1,NBAS,Homo sapiens (Human),0.200055453,1,0.986360664,0.134015179,0.331445167,0
A3KMH1,VWA8,Homo sapiens (Human),0,0.220927808,0.74870993,0.931821736,1,0.472191817
A4D1E9,GTPBP10,Homo sapiens (Human),0,0.078718128,0.596840517,1,0.626538813,0.273382476
Q8IUC4,RHPN2,Homo sapiens (Human),0,0.385667958,0.80686819,0.508844013,1,0.262369211
A8MXV4,NUDT19,Homo sapiens (Human),0,0.159581085,0.660334175,0.957257448,1,0.370523764
P0CG08,GPR89B,Homo sapiens (Human),0.092459808,0.719992182,1,0.36748877,0.847264422,0
P09712,US3,HCMV,0.053386053,0.240279384,0.316355546,0.274708085,1,0
P16812,UL34,HCMV,0,0.149725439,0.258567871,0.278272334,0.897078958,1
P17149,UL70,HCMV,0,0.159301787,0.480301606,0.6146005636'SEPT2,1,0.780543768
P16801,UL95,HCMV,0,0.148478071,0.378010859,0.305691752,0.920989125,1
P16764,UL29,HCMV,0,0.054158553,0.172239758,0.235968533,0.781619987,1
C1BEG3,UL74A,HCMV,0,0.666209713,1,0.922210189,0.534754093,0.14775621
P16787,UL96,HCMV,0,0.16491925,0.593553818,0.440763866,0.987385184,1
P09700,US24,HCMV,0,0.122725718,0.467390169,0.612866285,1,0.51178601
P16731,UL88,HCMV,0,0.297320539,1,0.665172888,0.969060755,0.541915704
P09720,US13,HCMV,0,0.358349997,1,0.710173214,0.747235541,0.330146082
P16760,UL24,HCMV,0,0.129308412,0.411407427,0.505680209,1,0.754356101
P16734,UL103,HCMV,0,0.49822287,0.838067704,0.448327841,1,0.395832196
P16783,UL46,HCMV,0,0.139734898,1,0.539781442,0.867208882,0.946068663
P16800,UL94,HCMV,0,0.595911151,1,0.22375726,0.349958952,0.075560712
P09730,US8,HCMV,0,0.859608707,1,0.279554554,0.698183553,0.029379943
P06726,UL82,HCMV,0,0.299755115,1,0.680413464,0.877472657,0.441805067
P09729,US9,HCMV,0.147889297,0.798165634,1,0.199439225,0.37172403,0
P16790,UL44,HCMV,0,0.095266354,0.273496024,0.340602635,0.921148125,1
P16832,gL,HCMV,0,0.657898465,1,0.305002239,0.355157445,0.026347033
P16732,UL89,HCMV,0,0.080896446,0.312374251,0.3689326,0.760016139,1
P17147,UL57,HCMV,0,0.108633891,0.587575581,0.815953944,1,0.806126041
P09721,US12,HCMV,0.066115602,0.616957791,1,0.269537809,0.364438411,0
P16823,UL71,HCMV,0,0.513300754,1,0.160105282,0.212756998,0.019585047
Q7M6N6,UL48A,HCMV,0,0.104629275,0.653042517,0.338238461,0.634176202,1
P16751,UL78,HCMV,0.15771376,0.767621524,1,0.163275428,0.146946617,0
P16789,UL98,HCMV,0,0.07916936,0.179984075,0.267545945,1,0.93595223
P69333,US28,HCMV,0.241990773,1,0.954171945,0.140440566,0.119984826,0
O39920,UL41A,HCMV,0.034476244,0.83509354,1,0.069868291,0.133229187,0
P09718,US15,HCMV,0.20183087,0.949752743,1,0.243933138,0.285899196,0
P09728,US10,HCMV,0,0.932884122,1,0.236302518,0.442266707,0.012739107
P16794,UL53,HCMV,0,0.266979887,0.58381867,0.548922528,1,0.445181656
P16757,UL16,HCMV,0.603761845,0.831293213,1,0.746188555,0.644341274,0
P16762,UL26,HCMV,0,0.081971307,0.363650244,0.399942527,1,0.935996882
P16761,UL25,HCMV,0,0.079296238,0.335826574,0.447767729,1,0.788521674
P16729,UL86,HCMV,0,0.125625814,0.814098794,0.443337839,0.784850507,1
P69339,UL132,HCMV,0.206783853,1,0.83026437,0.289897099,0.390605662,0
P16769,UL114,HCMV,0,0.080568872,0.168646048,0.38721918,1,0.811380163
P16728,UL85,HCMV,0,0.138936905,0.907843604,0.478887216,0.923202339,1
O00115,DNASE2,Homo sapiens (Human),0.219919686,0.708615195,1,0.455619525,0.171166132,0
O00116,AGPS,Homo sapiens (Human),0,0.173083526,0.399007119,0.477816795,1,0.230133164
O00142,TK2,Homo sapiens (Human),0,0.125191436,0.525913625,0.841324566,1,0.521953586
O00151,PDLIM1,Homo sapiens (Human),1,0.947040017,0.277367699,0.261808993,0.241413985,0
O00154,ACOT7,Homo sapiens (Human),0,0.149694759,0.389279475,0.613111033,1,0.544085013
O00159,MYO1C,Homo sapiens (Human),1,0.857290494,0.413824561,0.137468463,0.190129662,0
O00161,SNAP23,Homo sapiens (Human),0.781893991,1,0.822171459,0.198653218,0.104102449,0
