Uniprot Accession,Gene,Organism,1,2,3,4,5,6
A0AVT1,UBA6,Homo sapiens (Human),0,0.100202991,0.146593656,0.29461686,1,0.590320385
A0FGR8,ESYT2,Homo sapiens (Human),0,0.380856857,1,0.509294892,0.761361849,0.067858357
A1L0T0,ILVBL,Homo sapiens (Human),0,0.354550858,0.888471411,0.565293039,1,0.182815329
A2RRP1,NBAS,Homo sapiens (Human),0,0.521150552,0.97025501,0.674102992,1,0.420150244
A3KMH1,VWA8,Homo sapiens (Human),0,0.046421467,0.298860678,1,0.850626368,0.253151723
A4D1E9,GTPBP10,Homo sapiens (Human),0,0.018173486,0.212846956,1,0.561304207,0.131408156
Q8IUC4,RHPN2,Homo sapiens (Human),0,0.143163318,0.907420835,0.648945109,1,0.172308034
A8MXV4,NUDT19,Homo sapiens (Human),0,0.042890006,0.275056682,0.938369209,1,0.231409763
P0CG08,GPR89B,Homo sapiens (Human),0,0.455453205,1,0.641180776,0.891858155,0.027969527
P09712,US3,HCMV,0,0.173393329,0.36761742,0.431624245,1,0.239140119
P16764,UL29,HCMV,0,0.074217792,0.152220817,0.231842069,0.906786432,1
E9PAV3,NACA,Homo sapiens (Human),0,0.01241297,0.217231533,0.137766696,1,0.340124265
P16731,UL88,HCMV,0,0.019966265,0.270007504,1,0.914748172,0.276934162
P16760,UL24,HCMV,0,0.186996704,0.507958388,0.501935061,1,0.596401971
P16734,UL103,HCMV,0,0.298244976,0.845604912,0.479958142,1,0.520827225
P16800,UL94,HCMV,0.021855461,0.484272309,1,0.310852441,0.288997946,0
P16767,UL36,HCMV,0,0.083632293,0.20698573,0.350300229,1,0.718647466
P09730,US8,HCMV,0,0.455283548,0.939064519,0.592280563,1,0.233678682
P09729,US9,HCMV,0,0.410467456,1,0.577491293,0.721814721,0.19860528
P16790,UL44,HCMV,0,0.077753447,0.206178964,0.23667569,1,0.566396192
P17147,UL57,HCMV,0,0.066403882,0.213545201,0.432673882,1,0.250638134
P09721,US12,HCMV,0,0.446851521,1,0.627131618,0.518010025,0.069909811
P16823,UL71,HCMV,0,0.277055164,1,0.406282995,0.567067292,0.149870961
P16789,UL98,HCMV,0,0.021636466,0.125021741,0.25381703,1,0.79174723
P69333,US28,HCMV,0,0.591309331,1,0.316408596,0.341824512,0.04645797
P09728,US10,HCMV,0,0.378929154,0.979441021,0.918129301,1,0.192675786
P16761,UL25,HCMV,0,0.089138236,0.306622629,0.33898091,0.936349002,1
P16729,UL86,HCMV,0,0.062101618,0.641051523,0.489508441,1,0.922304285
P16769,UL114,HCMV,0,0.068129001,0.143491327,0.221850427,1,0.746820835
P16728,UL85,HCMV,0,0.022930264,0.432010301,0.437638954,1,0.734843946
O00115,DNASE2,Homo sapiens (Human),0,0.448331999,1,0.643903861,0.406945247,0.099832308
O00116,AGPS,Homo sapiens (Human),0,0.017285455,0.111335566,0.308430284,1,0.156423141
O00142,TK2,Homo sapiens (Human),0,0.092897999,0.330753813,0.920551035,1,0.484038186
O00151,PDLIM1,Homo sapiens (Human),0.312983417,1,0.314802768,0.293886328,0.539450899,0
O00154,ACOT7,Homo sapiens (Human),0,0.099501672,0.269671195,0.527096079,1,0.682267428
O00159,MYO1C,Homo sapiens (Human),0.363086819,1,0.692029384,0.281366424,0.726859914,0
O00161,SNAP23,Homo sapiens (Human),0.572414293,1,0.93182682,0.406953652,0.37202115,0
O00186,STXBP3,Homo sapiens (Human),0.232368678,0.913117089,1,0.397250752,0.572127061,0
O00214,LGALS8,Homo sapiens (Human),0.512345187,0.888699226,1,0.423446866,0.710075976,0
O00217,NDUFS8,Homo sapiens (Human),0,0.027314368,0.247495571,1,0.914855288,0.211811718
O00231,PSMD11,Homo sapiens (Human),0,0.119059466,0.25925766,0.371722619,1,0.588769176
