Uniprot Accession,Gene,Organism,1,2,3,4,5,6
A0FGR8,ESYT2,Homo sapiens (Human),0.52555952,1,0.589255856,0.336408529,0.210054469,0
A1L0T0,ILVBL,Homo sapiens (Human),0.436659954,1,0.498785915,0.283647496,0.17837561,0
A1L188,C17orf89,Homo sapiens (Human),0,0.053359999,0.441405393,1,0.495410963,0.141212641
A2RRP1,NBAS,Homo sapiens (Human),0.544376669,1,0.546023676,0.187806526,0.251515015,0
A3KMH1,VWA8,Homo sapiens (Human),0,0.111511721,0.412699766,1,0.678630158,0.205487666
A4D1E9,GTPBP10,Homo sapiens (Human),0,0.055211361,0.402311356,1,0.347338449,0.125631751
A8MXV4,NUDT19,Homo sapiens (Human),0,0.08301356,0.447923231,1,0.510821674,0.170644128
P0CG08,GPR89B,Homo sapiens (Human),0.444388153,1,0.647732735,0.649558596,0.621278702,0
P16722,UL17,HCMV,0.437131566,1,0.781032498,0.550177158,0.209294536,0
P16764,UL29,HCMV,0,0.056474436,0.081194171,0.236902427,0.743721171,1
C1BEG3,UL74A,HCMV,0.09019937,1,0.81546502,0.399093699,0.308583792,0
P16731,UL88,HCMV,0,0.25985289,1,0.878301534,0.749691042,0.289825732
P16760,UL24,HCMV,0,0.325102123,0.636368826,1,0.948393495,0.537707524
P16734,UL103,HCMV,0.036595021,0.566082628,0.790539331,0.765145809,1,0
P16783,UL46,HCMV,0,0.327950163,1,0.528587344,0.228720548,0.221622874
P16800,UL94,HCMV,0.078133126,0.988144812,1,0.607254849,0.438169806,0
P06726,UL82,HCMV,0,0.270178034,1,0.841335805,0.576344828,0.165275337
P09729,US9,HCMV,0.275779275,1,0.604164557,0.448990302,0.508144773,0
P16790,UL44,HCMV,0,0.395528843,0.796784113,0.621371793,1,0.781140734
P16832,gL,HCMV,0.156631748,1,0.882649926,0.52292077,0.237336328,0
P16732,UL89,HCMV,0,0.093273799,0.414272864,0.768372351,0.745025091,1
P09719,US14,HCMV,0.342954702,1,0.453917557,0.257321264,0.123231354,0
P16823,UL71,HCMV,0.206392958,1,0.620358272,0.265659187,0.236096271,0
P16751,UL78,HCMV,0.32564126,1,0.600205477,0.21614612,0.150351003,0
P16789,UL98,HCMV,0,0.002810638,0.197803153,0.748235287,1,0.867392509
P69333,US28,HCMV,0.309463475,1,0.746825501,0.465397728,0.15784146,0
O39920,UL41A,HCMV,0.291357052,1,0.616303791,0.338759649,0.253643686,0
P09718,US15,HCMV,0.350948662,1,0.812785858,0.333382793,0.20933051,0
P09728,US10,HCMV,0.34241537,1,0.735363999,0.696255465,0.501352021,0
P16794,UL53,HCMV,0,0.478733192,0.682805053,0.942188558,1,0.281536355
P16762,UL26,HCMV,0,0.083703973,0.403658117,0.66800274,1,0.631617532
P16761,UL25,HCMV,0,0.100843884,0.456100588,0.812204062,1,0.459106875
P16729,UL86,HCMV,0,0.425360092,1,0.531518832,0.425305117,0.430210256
P69339,UL132,HCMV,0.41526646,1,0.862863873,0.729542198,0.525430651,0
P16769,UL114,HCMV,0,0.059619397,0.091064622,0.302982399,1,0.925517793
P16728,UL85,HCMV,0,0.394917171,1,0.710221276,0.450000778,0.369947238
O00115,DNASE2,Homo sapiens (Human),0.246688221,0.738764248,1,0.4591891,0.114670001,0
O00116,AGPS,Homo sapiens (Human),0,0.290146335,0.872838242,1,0.898616955,0.140803712
O00142,TK2,Homo sapiens (Human),0,0.175043334,0.494496554,1,0.789407195,0.359769565
O00151,PDLIM1,Homo sapiens (Human),1,0.747284108,0.259923953,0.241371396,0.060477417,0
O00154,ACOT7,Homo sapiens (Human),0,0.230944239,0.254127364,1,0.35253427,0.044178227
O00159,MYO1C,Homo sapiens (Human),1,0.574598959,0.268613544,0.137249216,0.101256899,0
O00161,SNAP23,Homo sapiens (Human),1,0.985488629,0.592585748,0.22598309,0.083564835,0
O00165,HAX1,Homo sapiens (Human),0,0.092184062,0.414048713,1,0.272013609,0.097763651
O00186,STXBP3,Homo sapiens (Human),0.886205115,1,0.573326756,0.177876479,0.055773126,0
